Sample_Name,Close_Lab_ID,Tissue_type,Site,low_het,high_het,HOSTavg_Percent,HOST+/-range
Coral 217,21-024,Coral,ex situ ,0.288801903,0.577603806,0.433202855,0.144400952
Coral 221,21-022,Coral,ex situ ,0.236366956,0.472733911,0.354550434,0.118183478
Coral 215,21-025,Coral,ex situ ,0.517778486,1.035556973,0.77666773,0.258889243
Coral 216,21-056,Coral,ex situ ,0.259632331,0.519264662,0.389448497,0.129816166
Coral 218,21-048,Coral,ex situ ,0.38013811,0.760276221,0.570207166,0.190069055
Coral 222,21-080,Coral,ex situ ,0.339447345,0.678894689,0.509171017,0.169723672
Coral 223,21-096,Coral,ex situ ,0.498558853,0.997117706,0.74783828,0.249279427
Coral 220,21-094,Coral,ex situ ,0.424266969,0.848533938,0.636400453,0.212133484
Coral 151,20-073,Coral,Port,0.219983685,0.43996737,0.329975528,0.109991843
Coral 170,20-075,Coral,Port,0.038059624,0.076119249,0.057089437,0.019029812
Coral 180,21-023,Coral,Port,0.260446123,0.520892246,0.390669185,0.130223062
Coral 182,21-026,Coral,Port,0.034482298,0.068964596,0.051723447,0.017241149
Coral 106,21-027,Coral,Port,0.175252199,0.350504397,0.262878298,0.087626099
Coral 172,21-046,Coral,Port,0.268827656,0.537655312,0.403241484,0.134413828
Coral 127,21-016,Coral,Reef 1,0.261852096,0.523704192,0.392778144,0.130926048
Coral 200,21-055,Coral,Reef 1,0.10405551,0.20811102,0.156083265,0.052027755
Coral 225,21-054,Coral,Reef 1,0.287569189,0.575138378,0.431353784,0.143784595
Coral 108,21-078,Coral,Reef 1,0.307029963,0.614059926,0.460544944,0.153514981
Coral 201,21-095,Coral,Reef 1,0.133741808,0.267483616,0.200612712,0.066870904
Coral 194,20-077,Coral,Reef 2,0.186393339,0.372786678,0.279590008,0.093196669
Coral 190,21-001,Coral,Reef 2,0.041622277,0.083244554,0.062433416,0.020811139
Coral 164,21-012,Coral,Reef 2,0.385093192,0.770186385,0.577639789,0.192546596
Coral 187,21-057,Coral,Reef 2,0.180706215,0.361412431,0.271059323,0.090353108
Coral 175,21-097,Coral,Reef 2,0.17271871,0.34543742,0.259078065,0.086359355
Coral 186,21-100,Coral,Reef 2,0.10462382,0.20924764,0.15693573,0.05231191
